Branch,Customer,Recency,Lifetime_pc,Exp_buy_range,C_latency,Buys_pd,Buy_days_pd,Buy_concentration,Spend_per_buy,Spend_pd,LM_P,LM_P_2,LM_P_3,Actual,Predict Actual,Spend,Error,ML error estimate
301,56044,8,0.9055555555555556,12.857142857142858,0.6222222222222222,0.283987915407855,0.0876132930513595,3.2413793103448274,13.331595744680854,3.786012084592146,0.0,1.286798787878788,2.214689696969697,51.24999999999999,1133.5906527836014,1362.9643504531725,1082.3406527836014,0.49446735854946144
303,56062,5,0.9666666666666668,9.0,0.5555555555555556,0.4257142857142857,0.1171428571428571,3.6341463414634143,12.774161073825503,5.438142857142857,16.656162285714288,16.473350303030305,12.472740606060606,4559.02,1847.290763670149,1957.7314285714285,1877.4136215587441,0.39375743867263774
222,56066,19,0.9611111111111112,7.0588235294117645,2.691666666666667,0.5279329608938548,0.1452513966480447,3.6346153846153846,60.54640211640211,31.964441340782123,0.0065840000000007,17.994083636363637,6.138646060606061,856.3599999999999,1411.7768644166615,11507.198882681565,555.4168644166616,0.16622647191752613
202,56068,5,0.9944444444444444,2.88,1.7361111111111112,2.65,0.35,7.571428571428572,18.807725366876312,49.84047222222223,66.94162984511786,58.854169696969706,33.93685575757576,20143.89,13000.777500949682,17942.570000000003,2979.529065660372,0.13294280229892236
626,56075,19,0.9,90.0,0.2111111111111111,0.0178571428571428,0.0148809523809523,1.2,13.888333333333334,0.2480059523809523,0.6572834285714285,1.143721212121212,0.7357696969696971,0.0,386.8979121942871,89.28214285714283,386.8979121942871,2.318382324045297
306,56084,13,0.8583333333333333,16.363636363636363,0.7944444444444445,0.4384858044164038,0.0725552050473186,6.0434782608695645,20.08820143884892,8.808391167192429,27.43433872555204,15.453347878787875,21.494183030303027,1519.3,0.0,3171.0208201892747,393.4607233270742,0.1926419387875103
626,56085,28,0.8944444444444445,30.0,0.9333333333333332,0.158357771260997,0.0381231671554252,4.153846153846153,14.482222222222225,2.2933724340175954,0.0121893333333333,0.022384,0.0543258181818181,25.55,734.5440400511842,825.6140762463343,708.9940400511842,0.4748105510092856
166,56090,14,0.5305555555555556,32.72727272727273,0.4277777777777778,0.325,0.06,5.416666666666667,27.97015384615384,9.0903,13.285088484848483,0.0,0.4696339393939392,1479.0599999999995,0.0,3272.508,1441.0193340746414,0.15094140306361345
166,56092,8,0.9416666666666668,24.0,0.3333333333333333,0.0755813953488372,0.0465116279069767,1.625,29.40692307692308,2.222616279069768,2.487730046511628,5.072105454545455,4.731735757575757,6599.81,1118.8412636146268,800.1418604651166,4518.207573358436,0.5460802481185176
303,56098,4,1.0,1.651376146788991,2.422222222222222,3.919667590027701,0.6011080332409973,6.52073732718894,17.968558303886926,70.4307756232687,33.63288755007136,40.70370424242424,41.130801212121206,15078.45,19554.484214552387,25355.079224376732,4476.034214552386,0.1735479859243333
303,56099,20,0.9638888888888888,20.0,1.0,0.1277777777777777,0.0527777777777777,2.421052631578948,34.60347826086957,4.421555555555556,3.7465006599326616,1.6537757575757577,0.1366865454545457,2719.93,510.5883961723727,1591.7600000000002,845.2861155390337,0.36922938595246735
314,56108,19,0.9444444444444444,10.0,1.9,0.3068181818181818,0.1022727272727272,3.0,18.85935185185185,5.786392045454545,6.718578132231404,3.650390303030304,7.305945454545456,1213.42,2662.482050988229,2083.101136363636,1449.0620509882287,0.39020204071155556
224,56110,11,0.9583333333333334,4.931506849315069,2.230555555555556,0.8490028490028491,0.2108262108262108,4.027027027027027,58.7046644295302,49.84042735042735,0.0,43.09157575757576,20.727000000000004,3976.55,7794.155268383189,17942.553846153845,3817.6052683831886,0.14916214431830344
1409,56115,5,0.9972222222222222,2.4489795918367347,2.0416666666666665,1.950138504155125,0.407202216066482,4.789115646258503,7.801420454545456,15.213850415512468,7.393492634936625,11.366121212121213,3.9052703030303033,3939.98,2892.159556074458,5476.986149584489,257.29485400719614,0.14445892441138922
