Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,linear_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_linear_output,Unseasoned_diff,Season_diff,linear_output_diff
168578,9217.388545454543,657.8818787878787,657.8818787878787,125161.5,187566.75787878784,188123.2681722024,151132.31786088535,191408.84,3842.082121212152,3285.5718277975975,40276.52213911465,0,1,0
60751,10029.027818181818,711.7824848484848,711.7824848484848,132342.44999999998,203498.7384848485,201344.4200532694,82538.0548770293,112033.82,91464.91848484849,89310.60005326939,29495.76512297071,0,0,1
150634,14100.955636363637,727.8169696969697,727.8169696969697,174965.87,246543.01696969697,227981.5610589485,177193.91631299068,210786.72,35756.29696969697,17194.841058948485,33592.80368700932,0,1,0
70354,28873.14363636364,-733.9590303030304,733.9590303030304,258942.73,182307.37696969695,175760.51780982714,271577.7156351906,236978.01,54670.633030303055,61217.49219017287,34599.70563519059,0,0,1
99592,14992.236181818182,-743.8871515151515,743.8871515151515,116977.22,42058.72484848485,38144.863990622565,118617.4857476287,224677.62,182618.89515151514,186532.75600937742,106060.1342523713,0,0,1
51696,9537.751818181816,-757.2408484848482,757.2408484848482,61355.23,3624.307454545456,3458.460954465277,37469.60191793423,32233.14,28608.832545454545,28774.67904553472,5236.4619179342335,0,0,1
7038,13354.025636363636,-826.9190303030304,826.9190303030304,96556.56,18228.54769696969,17571.33966745882,91310.49700458968,51054.58,32826.03230303031,33483.24033254119,40255.917004589675,1,0,0
34414,23913.93,966.1853333333332,966.1853333333332,286713.95,379236.1733333333,365980.87201416737,311481.7510200372,366387.01,12849.163333333272,406.13798583263997,54905.25897996279,0,1,0
82919,9789.476545454543,-977.5834545454544,977.5834545454544,54210.17,13.641999999999824,13.392891074232288,8497.544068765797,9270.04,9256.398000000001,9256.647108925768,772.4959312342035,0,0,1
17825,22806.222,-1026.080666666667,1026.080666666667,181888.59000000003,79280.5233333333,80282.04164723522,151211.00176953227,308124.43,228843.90666666668,227842.38835276477,156913.42823046772,0,0,1
45614,14170.170363636364,-1049.584303030303,1049.584303030303,94660.55,8399.80351515152,8368.926343719528,71566.25557488218,78279.36,69879.55648484848,69910.43365628047,6713.104425117825,0,0,1
18438,9623.10163636364,1061.0563030303026,1061.0563030303026,145701.22999999998,250084.1803030303,243978.38842808732,121119.13661123895,151906.89,98177.29030303028,92071.4984280873,30787.753388761063,0,0,1
13619,10527.754363636364,-1107.8369696969696,1107.8369696969696,55515.6,0.0,0.0,-8871.626850046101,14786.09,14786.09,14786.09,23657.7168500461,1,1,0
59799,12887.494545454543,-1198.784121212121,1198.784121212121,74929.66,899.6533333333355,922.2385873697048,20835.07271497733,11171.12,10271.466666666665,10248.881412630297,9663.95271497733,0,0,1
